Time [s],Trigger,X-Axis_PP-3 [psi],X-Axis_PP-4 [psi],Y-Axis_PP-1 [psi],Y-Axis_PP-2 [psi]
-0.000577,0.0570679,0.00305176,-0.0198364,0.0305176,-0.0183105
-0.0005765,0.0595093,0.00152588,0.0152588,0.00610352,0.00610352
-0.000576,0.0582886,0.00762939,-0.0137329,0.038147,0.00762939
-0.0005755,0.0585938,0,-0.00305176,0.0335693,-0.00305176
-0.000575,0.0582886,0.0198364,0.0167847,0.0320435,0.00152588
-0.0005745,0.0585938,0.0228882,0.00305176,0.0152588,0.0198364
-0.000574,0.0598145,-0.00152588,-0.0137329,0.0320435,-0.00152588
-0.0005735,0.0579834,-0.00152588,-0.0137329,0.0335693,0.00305176
-0.000573,0.0619507,0.0167847,0.00457764,0.0152588,0.0228882
-0.0005725,0.0595093,-0.00762939,-0.0137329,0.0198364,0.00762939
-0.000572,0.0595093,-0.00457764,-0.00152588,0.0396729,0.00305176
-0.0005715,0.0622559,0.0106812,0.012207,0.0198364,0.0152588
-0.000571,0.06073,0.012207,0,0.0198364,0.00610352
-0.0005705,0.0610352,0.038147,-0.00152588,0.0366211,0.00152588
-0.00057,0.0610352,0.00152588,-0.00915527,0.0106812,0.00457764
-0.0005695,0.0631714,-0.0167847,-0.0274658,0.0274658,0.0167847
-0.000569,0.0585938,-0.0167847,-0.00915527,0.00762939,0.0106812
-0.0005685,0.06073,-0.0198364,-0.00915527,0.0213623,0.0137329
-0.000568,0.0598145,-0.00610352,-0.0213623,0.0366211,0
-0.0005675,0.0598145,0.0106812,-0.0167847,0.0167847,0.0106812
-0.000567,0.0598145,0.0213623,0.00457764,0.0335693,0.00152588
-0.0005665,0.057373,0.0244141,-0.0183105,0.0259399,0.00915527
-0.000566,0.0616455,0.00610352,-0.0198364,0.00610352,0.0137329
-0.0005655,0.0598145,0.0213623,0.00915527,0.0137329,-0.00305176
-0.000565,0.0616455,0.0259399,-0.0152588,0.0198364,0.0137329
-0.0005645,0.0622559,0.0167847,-0.00457764,0.0198364,0.00762939
-0.000564,0.0595093,0.038147,-0.0198364,0.0198364,0
-0.0005635,0.0616455,0.0320435,0.0152588,0.0396729,0.0396729
-0.000563,0.057373,0,-0.0152588,0.00152588,-0.00762939
-0.0005625,0.06073,0.0259399,-0.012207,0.0289917,0.0152588
-0.000562,0.0595093,0.0152588,-0.0106812,0.0152588,-0.00152588
-0.0005615,0.0610352,-0.012207,-0.00610352,0.0244141,0.0152588
-0.000561,0.0592041,0.00457764,-0.0152588,0.038147,-0.00762939
-0.0005605,0.0610352,0.0183105,0.00152588,0.0396729,0.00915527
-0.00056,0.0604248,0.0228882,0.0152588,0.00610352,0.00762939
-0.0005595,0.0570679,0,0,0.0274658,-0.00610352
-0.000559,0.0570679,-0.0137329,0.00457764,0.0167847,0.00915527
-0.0005585,0.057373,0.0274658,-0.0152588,0.0289917,0.0228882
-0.000558,0.0598145,0.00610352,-0.0152588,0.0244141,-0.00305176
-0.0005575,0.0598145,-0.00915527,-0.0106812,0.0289917,0.00457764
-0.000557,0.0582886,0.00610352,0.00457764,0.0228882,0.00610352
-0.0005565,0.0610352,0.0427246,-0.00305176,0.0259399,-0.00152588
-0.000556,0.0588989,0.0137329,-0.0137329,0.0335693,0
-0.0005555,0.0579834,-0.0183105,-0.0167847,0.0183105,0.00610352
-0.000555,0.0592041,0.0152588,-0.0213623,0.0213623,0.012207
-0.0005545,0.0579834,0.00915527,-0.0213623,0.00762939,0.0183105
-0.000554,0.06073,0.00915527,-0.0259399,0.0106812,0.00457764
-0.0005535,0.0570679,0.0152588,-0.00762939,0.0259399,0.0167847
-0.000553,0.0582886,0.0518799,-0.00152588,0.0152588,0.00152588
-0.0005525,0.0619507,0.0305176,-0.00305176,-0.00610352,-0.00152588
-0.000552,0.06073,0.0106812,-0.012207,-0.00305176,-0.00610352
-0.0005515,0.0592041,-0.00915527,-0.00762939,0.0259399,0.0198364
-0.000551,0.0598145,0.00762939,-0.00762939,0.00915527,0.00762939
-0.0005505,0.0595093,-0.0167847,0.0106812,0.0259399,0.0198364
-0.00055,0.0582886,0.0244141,-0.0152588,0.0350952,0.0366211
-0.0005495,0.0592041,0.0289917,-0.00305176,0.0350952,0.0167847
-0.000549,0.0570679,0.0106812,-0.00762939,0.0366211,-0.00305176
-0.0005485,0.0588989,0.0152588,-0.00762939,0.0396729,-0.00610352
-0.000548,0.0598145,-0.0106812,-0.00762939,0.012207,0.0183105
-0.0005475,0.0582886,0.0305176,-0.0244141,0.0228882,0
-0.000547,0.06073,-0.0183105,-0.0198364,0.0137329,0
